time, q0, q1, q2, q3, wx, wy, wz
6127.415784, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6134.641349, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6140.283553, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6146.506190, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6153.841710, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6160.391697, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6167.268772, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6174.145846, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6181.022921, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6186.858511, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6192.997641, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6200.035727, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6207.546763, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6212.887458, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6219.096746, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6226.748752, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6232.974208, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6239.847749, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6247.112061, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6252.949027, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6259.285880, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6266.511449, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6273.737018, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6279.379212, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6285.601847, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6292.937374, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6299.487355, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6306.364432, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6313.241509, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6320.118585, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6325.954176, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6332.093306, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6339.131394, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6346.642430, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6351.983123, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6358.192411, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6365.844417, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6372.069872, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6378.943414, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6386.207727, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6392.044692, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6398.381544, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6405.607114, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6412.832685, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6418.474876, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
